wb_uerid	user_recon	wb_profile	wb_follow	wb_fans
5012791625	1	2538	1893	511
6281659571	1	50	7	2
3343616642	0	395	1185	474
3157475487	0	75	4	4
2606760181	0	595	14	14
3057987711	0	5	6	6
5703009153	0	4	6	6
2679880183	0	504	27	27
5410608864	1	6	1439	90
5597479581	1	2384	65	73
5142398727	1	135	847	7390
5229843938	0	191	72	61
5703471824	0	17	5	5
2313179293	1	1635	353	454
2950690850	0	68	4	4
2479701043	0	825	6	6
5979637923	0	138	4847	268
2919905994	1	7212	5000	392
1723922925	1	5785	4236	343
5780904994	1	276	7	7
5124025965	0	30	722	116
3318775067	0	32	5	5
1783300020	0	479	8	8
1737618955	0	985	7	7
6137399140	1	15	5	5
2134173143	0	474	290	299
1797818653	0	165	3	0
5796507416	1	21	9	9
3908407742	0	55	3	3
2534191417	1	23	103	55
2674082663	0	145	5	5
3212201251	0	526	16	16
2920221572	0	7162	4243	378
5359701876	1	124	16	16
2676238857	0	221	6	6
5980151252	0	402	271	227
2414563325	0	122	4	4
5106237523	0	33	1682	71
2534133015	0	277	106	48
5148299979	1	1369	3833	5961
2675988707	1	229	123	69
2945321072	0	53	249	234
6295502789	1	4	5	5
3700510417	1	1538	1981	108
1583840923	1	7465	3869	437
5428328138	0	576	8	8
6250592949	0	147	5	5
6063170569	0	208	5	5
5124061717	0	89	36	30
3090592490	1	788	9	9
2760143745	0	31	82	80
3035531065	0	14	122	129
3163924404	0	25	7	7
5471604806	0	311	11	11
2168550397	1	7589	3828	370
1341139643	0	152	294	123
5948891993	0	51	7	7
3266784640	1	159	6	6
5591128404	1	98	122	10
1058531451	0	8	96	132
2907028957	0	21	92	107
3315630445	0	744	6	6
3224929271	0	1176	6	6
3625783844	0	2929	15	15
3990735761	0	216	146	134
2038233907	0	76	172	68
2108675407	1	95	311	50
3039507644	0	89	8	8
3239185265	0	114	11	11
3994328285	0	39	8	8
3616196757	1	568	1319	276
3700489765	1	5641	1972	348
5966960845	0	162	4829	302
3220343932	1	26	4	4
2619763461	0	584	17	7808
3948249738	1	4	86	9
5689311520	0	18	7	7
3099439761	0	90	6	6
2977596054	0	92	6	6
3411891322	0	46	4	4
3315465161	1	7	67	93
3047482954	0	57	218	856
3754666374	0	14	5	5
6304844991	0	79	4645	358
1903067515	0	201	236	281
3103213735	0	160	5	5
5196384697	1	81	80	17
1776584302	0	7213	3876	376
3152199472	0	45	42	62
2200440164	0	1580	1360	1334
6220497243	1	752	3	3
5567450514	0	213	24	24
3870891702	0	6	8	8
5390104358	0	32	23	6
5634269365	0	60	6	6
2329585842	0	115	96	134
3033609053	1	171	13	13
3889054741	0	10	9	9
3171783972	0	16	9	9
1922080577	0	88	4	4
3012166435	0	18	7	7
3995840338	1	30	3	3
3351383462	1	38	211	1109
3329904332	1	57	4	4
3044993034	0	5691	5000	249
2745603030	1	389	18	18
2724426974	0	95	6	6
3850197503	1	8	6	6
1145036640	0	150	12	12
2168369203	0	18	1230	74
3970973541	0	753	41	158
2551468271	0	154	7	7
3607960981	0	9	34	6
2919701510	0	7315	4737	274
3044109302	0	5766	5000	196
6324345632	1	71	128	99
3043846764	0	5849	5000	221
3200627774	0	13	36	44
3319206175	0	770	1449	484
5069714252	1	1621	4	4
6123033087	0	2	7	7
1748405633	0	93	6	6
2795747160	1	802	8	8
2725978403	0	200	78	104
5599309174	0	21	67	19
3922342790	0	1753	153	141
2948081793	0	937	73	73
2821841222	0	55	50	69
3073452703	0	22	5	5
1933965513	0	222	9	9
5614941503	0	4	17	18
1540956065	0	588	12	12
3837564110	0	6	4	4
5852657405	0	60	11	0
5117247985	0	33	814	113
2919372132	0	7318	4854	262
5896106308	0	56	8	8
3965409214	0	10	19	4
2873669204	0	96	9	9
5067153165	1	6586	1675	742
5041652300	0	80	6	6
2083360043	0	22	4	4
5997795285	0	6	377	16
3034022574	0	1063	1647	4715
2714286995	0	373	145	217
3837102335	0	421	10	10
5121959200	0	32	871	138
5669166998	0	893	7	7
5038880503	0	795	8	8
3347076294	0	30	4	4
2812178902	0	686	4	4
3437183320	0	6	72	9
2545740037	1	1362	786	31085
3895259481	0	132	95	58
3120929740	0	196	167	58
6053572884	1	79	3	3
5248331270	1	577	326	342
6074475198	0	83	4171	785
5075799753	1	3	356	63
2964159275	1	278	247	93
3488070020	0	15	8	8
5361912551	1	1843	1697	626
5488157316	0	6	4	4
3175962654	0	221	6	6
2094654045	0	31	4	4
5772805261	0	26	5	5
6251349183	0	11	92	18
5249583901	0	30	4	4
3274777541	0	792	12	12
6318852437	0	10	246	20
2618340645	0	3	4	4
5043803374	0	37	6	6
